step,loss_function,target_value,elapsed_time
0,2.18783e+02,1.08905e+01,14
100,2.15919e+02,1.05173e+01,21
200,2.14761e+02,1.02579e+01,21
300,2.13979e+02,9.97285e+00,22
400,2.13756e+02,9.78120e+00,22
500,2.13458e+02,9.63150e+00,23
600,2.12846e+02,9.50282e+00,24
700,2.12633e+02,9.34416e+00,24
800,2.12569e+02,9.26884e+00,25
900,2.12789e+02,9.18340e+00,25
1000,2.12601e+02,9.08554e+00,26
1100,2.12157e+02,9.08397e+00,27
1200,2.12029e+02,9.00028e+00,27
1300,2.11974e+02,8.89664e+00,28
1400,2.11767e+02,8.92734e+00,28
1500,2.11664e+02,8.94185e+00,29
1600,2.11506e+02,8.91889e+00,30
1700,2.11407e+02,8.89895e+00,30
1800,2.11159e+02,8.92287e+00,31
1900,2.11293e+02,8.83127e+00,32
2000,2.11069e+02,8.81495e+00,32
2100,2.11020e+02,8.82616e+00,33
2200,2.10858e+02,8.78295e+00,33
2300,2.10684e+02,8.83052e+00,34
2400,2.10463e+02,8.90157e+00,35
2500,2.10448e+02,8.86040e+00,35
2600,2.10333e+02,8.81211e+00,36
2700,2.10211e+02,8.80780e+00,36
2800,2.10057e+02,8.85484e+00,37
2900,2.09933e+02,8.86966e+00,38
3000,2.09819e+02,8.84432e+00,38
3100,2.09589e+02,8.90142e+00,39
3200,2.09495e+02,8.92756e+00,39
3300,2.09343e+02,8.91587e+00,40
3400,2.09356e+02,8.92524e+00,41
3500,2.09124e+02,8.98312e+00,41
3600,2.08914e+02,8.99261e+00,42
3700,2.08810e+02,8.99521e+00,43
3800,2.08892e+02,8.89994e+00,43
3900,2.08775e+02,8.89770e+00,44
4000,2.08583e+02,8.96056e+00,44
